hebrew_name	english_name	category	symptom	ICD9Code
יעוץ כללי לא מוגדר	"Other counseling, not elswhere classified"	כללי	NULL	V65.4
יעוץ כללי	General counseling and advise	כללי	NULL	V25.0
מחלה במשפחה	Health prblem within family	כללי	NULL	V61.4
בדיקת מעקב	Follow-up examination	כללי	NULL	V67
אין מחלה	No Disease	כללי	NULL	D01
חום	Fever	כללי	TRUE	780.6
התייבשות	"Fluid Intake, decreased / dehydration"	כללי	NULL	276.51
חיסון	Need for Immunization	כללי	NULL	V03-V06
אלרגיה	Allergic reaction NOS	כללי	TRUE	995.3
אלרגיה למוצרי חלב	Allergy to milk products	כללי	TRUE	V15.02
אלרגיה לתרופות	Allergy to drug properly administered	כללי	TRUE	995.2
כאב	Pain	כללי	TRUE	338
כאב חריף	Acute pain	כללי	TRUE	338.1
כאב כרוני	Chronic pain	כללי	TRUE	338.2
כאב כללי	Generalized pain	כללי	TRUE	780.96
דום נשימה בשינה	Unspecified sleep apnea	כללי	NULL	780.57
חולשה ועייפות	Malaise and fatigue	כללי	TRUE	780.7
סינקופה / אבוד הכרה	Syncope and collapse / fainting	כללי	TRUE	780.2
עליה במשקל	Abnormal weight gain	כללי	TRUE	783.1
השמנה	Obesity	כללי	NULL	278
השמנה חולנית	Morbid obesity	כללי	NULL	278.01
עודף משקל	Overweight	כללי	NULL	278.02
ירידה במשקל	Loss of weight	כללי	TRUE	783.21
הגדלת בלוטות לימפה	Enlargement of lymph nodes	כללי	TRUE	785.6
דלקת בלוטת לימפה	Unspecified lymphadenitis	כללי	TRUE	289.3
היפותרמיה	Hypothermia	כללי	TRUE	780.56
שוק אנפילקטי	Other anaphylactic shock	חרום	NULL	995
חנק מגוף זר	Choking / Asphyxia due to foreign body	חרום	TRUE	993.1
אבדן הכרה	Syncope and collapse	חרום	TRUE	780.2
הרעלה	Poisoning by external substunces	חרום	NULL	E860-E869
מינון יתר	Overdose accidental	חרום	NULL	E850-E858
נסיון אבדני	Sucicidal Attempt	חרום	NULL	E950-E959
פרכוס	Convulsions	חרום	NULL	780.3
פציעה	Injury	חבלה	NULL	V15.5
פצע / חתך	Laceration / cut	חבלה	TRUE	870-879
צליפת שוט צוואר	Whiplash Injury	חבלה	NULL	847
זעזוע מוח	Concussion	חבלה	NULL	850
בדיקת הריון	"Pregnancy examination or test, pregnancy unconfirmed"	הריון	NULL	V72.40
הריון תקין	Normal pregnancy	הריון	NULL	V22
דימום בהריון מוקדם	Hemorrhage in early pregnancy	הריון	TRUE	640
התכווצויות בהריון	Abnormal uterine contractions	הריון	TRUE	763.7
הקאות בהריון	Hyperemesis gravidarum	הריון	TRUE	643
סיבוכי הריון כללי	Other specified complications of pregnancy	הריון	NULL	646
זיהום דרכי שתן בהריון	Infections of genitourinary tract in pregnancy	הריון	NULL	646.6
הפלה ספונטנית	Spontaneous abortion	הריון	NULL	634
הפלה missed	Missed abortion	הריון	NULL	632
הפלות חוזרות	Habitual aborter	הריון	NULL	646.3
הריון IVF	Pregnancy resulting from IVF	הריון	NULL	V23.85
הריון בר סיכון	Other high-risk pregnancy	הריון	NULL	V23.89
הריון אקטופי	Ectopic pregnancy	הריון	NULL	633
מולה	Hydatidiform mole	הריון	NULL	630
חום בילוד	Neonatal fever	תינוק	TRUE	778.4
הקאה/פליטה	Regurgitation of food	תינוק	TRUE	779.3
בעיות האכלה בתינוק	Feeding problems in newborn	תינוק	TRUE	779.3
צהבת ילוד	"Hemolytic disease of fetus or newborn, due to isoimmunization"	תינוק	NULL	773
טראומה בלידה	Birth trauma	תינוק	NULL	767
RDS	"Respiratory distress syndrome, baby"	תינוק	NULL	769
